iter	Passed	Remaining
558	12006	9472
559	12024	9447
560	12043	9424
561	12066	9404
562	12088	9382
563	12105	9358
564	12126	9336
565	12144	9311
566	12164	9289
567	12183	9266
568	12203	9243
569	12223	9221
570	12246	9200
571	12266	9178
572	12287	9156
573	12307	9134
574	12330	9114
575	12350	9091
576	12373	9070
577	12393	9048
578	12414	9026
579	12434	9004
580	12454	8981
581	12476	8960
582	12500	8941
583	12524	8921
584	12546	8900
585	12565	8877
586	12587	8856
587	12607	8833
588	12630	8813
589	12652	8792
590	12671	8769
591	12697	8750
592	12724	8733
593	12745	8711
594	12765	8688
595	12784	8666
596	12802	8642
597	12821	8619
598	12841	8596
599	12861	8574
600	12885	8554
601	12904	8531
602	12922	8507
603	12943	8486
604	12963	8463
605	12986	8443
606	13005	8420
607	13026	8398
608	13047	8377
609	13078	8361
610	13105	8343
611	13128	8323
612	13151	8303
613	13173	8281
614	13193	8259
615	13210	8235
616	13232	8213
617	13257	8194
618	13279	8173
619	13297	8150
620	13325	8132
621	13345	8110
622	13365	8087
623	13384	8064
624	13401	8040
625	13419	8017
626	13440	7995
627	13461	7973
628	13482	7952
629	13504	7931
630	13523	7908
631	13544	7886
632	13566	7865
633	13587	7843
634	13607	7821
635	13624	7797
636	13643	7775
637	13668	7755
638	13693	7735
639	13718	7716
640	13738	7694
641	13756	7671
642	13776	7648
643	13796	7626
644	13817	7604
645	13838	7583
646	13860	7562
647	13883	7541
648	13900	7517
649	13922	7496
650	13942	7474
651	13959	7450
652	13980	7429
653	14001	7407
654	14023	7386
655	14046	7365
656	14067	7344
657	14087	7322
658	14108	7300
659	14127	7277
660	14147	7255
661	14166	7232
662	14188	7212
663	14208	7189
664	14226	7166
665	14245	7144
666	14266	7122
667	14292	7103
668	14315	7082
669	14334	7060
670	14355	7038
671	14374	7016
672	14392	6993
673	14416	6973
674	14433	6949
675	14453	6927
676	14475	6906
677	14495	6884
678	14517	6863
679	14536	6840
680	14554	6817
681	14574	6795
682	14595	6774
683	14613	6751
684	14632	6728
685	14649	6705
686	14670	6683
687	14688	6661
688	14711	6640
689	14736	6620
690	14759	6600
691	14779	6578
692	14802	6557
693	14821	6535
694	14841	6512
695	14866	6493
696	14888	6472
697	14908	6450
698	14929	6428
699	14949	6407
700	14973	6386
701	14992	6364
702	15011	6342
703	15033	6321
704	15053	6299
705	15074	6277
706	15093	6255
707	15112	6232
708	15134	6211
709	15156	6190
710	15177	6169
711	15195	6146
712	15213	6123
713	15234	6102
714	15254	6080
715	15277	6059
716	15302	6039
717	15319	6016
718	15345	5997
719	15369	5976
720	15395	5957
721	15423	5938
722	15448	5918
723	15473	5898
724	15498	5878
725	15521	5858
726	15550	5839
727	15573	5818
728	15593	5796
729	15615	5775
730	15635	5753
731	15655	5731
732	15680	5711
733	15700	5689
734	15722	5668
735	15742	5646
736	15771	5628
737	15795	5607
738	15815	5585
739	15835	5563
740	15859	5543
741	15880	5521
742	15902	5500
743	15920	5477
744	15941	5456
745	15960	5434
746	15981	5412
747	15999	5390
748	16016	5367
749	16037	5345
750	16055	5323
751	16080	5303
752	16098	5280
753	16117	5258
754	16135	5236
755	16154	5213
756	16175	5192
757	16199	5171
758	16217	5149
759	16236	5127
760	16257	5105
761	16282	5085
762	16303	5064
763	16327	5043
764	16349	5022
765	16375	5002
766	16396	4980
767	16416	4959
768	16435	4937
769	16453	4914
770	16474	4893
771	16493	4871
772	16513	4849
773	16534	4827
774	16552	4805
775	16573	4783
776	16595	4762
777	16613	4740
778	16644	4721
779	16665	4700
780	16684	4678
781	16705	4657
782	16723	4634
783	16741	4612
784	16759	4590
785	16780	4568
786	16806	4548
787	16827	4527
788	16847	4505
789	16868	4483
790	16888	4462
791	16909	4440
792	16931	4419
793	16951	4397
794	16976	4377
795	16995	4355
796	17017	4334
797	17042	4314
798	17067	4293
799	17088	4272
800	17110	4250
801	17130	4229
802	17150	4207
803	17169	4185
804	17188	4163
805	17209	4142
806	17227	4120
807	17248	4098
808	17271	4077
809	17293	4056
810	17313	4034
811	17334	4013
812	17353	3991
813	17372	3969
814	17394	3948
815	17413	3926
816	17432	3904
817	17455	3883
818	17478	3862
819	17504	3842
820	17525	3820
821	17547	3799
822	17571	3778
823	17592	3757
824	17612	3735
825	17631	3714
826	17654	3693
827	17673	3671
828	17698	3650
829	17717	3628
830	17738	3607
831	17759	3586
832	17780	3564
833	17806	3544
834	17831	3523
835	17850	3501
836	17872	3480
837	17893	3459
838	17915	3437
839	17936	3416
840	17954	3394
841	17970	3372
842	17990	3350
843	18011	3329
844	18030	3307
845	18052	3286
846	18074	3264
847	18094	3243
848	18112	3221
849	18133	3200
850	18150	3177
851	18170	3156
852	18188	3134
853	18207	3112
854	18228	3091
855	18265	3072
856	18282	3050
857	18302	3029
858	18318	3006
859	18343	2986
860	18363	2964
861	18384	2943
862	18405	2921
863	18423	2899
864	18444	2878
865	18467	2857
866	18485	2835
867	18505	2814
868	18524	2792
869	18549	2771
870	18573	2750
871	18590	2728
872	18609	2707
873	18628	2685
874	18649	2664
875	18671	2643
876	18690	2621
877	18713	2600
878	18737	2579
879	18760	2558
880	18779	2536
881	18799	2515
882	18822	2494
883	18848	2473
884	18868	2451
885	18890	2430
886	18909	2408
887	18926	2387
888	18946	2365
889	18966	2344
890	18989	2323
891	19006	2301
892	19028	2280
893	19049	2258
894	19067	2236
895	19086	2215
896	19103	2193
897	19122	2172
898	19146	2151
899	19163	2129
900	19185	2108
901	19207	2086
902	19230	2065
903	19255	2044
904	19271	2023
905	19293	2001
906	19312	1980
907	19331	1958
908	19352	1937
909	19371	1915
910	19395	1894
911	19416	1873
912	19438	1852
913	19460	1831
914	19479	1809
915	19497	1787
916	19515	1766
917	19535	1745
918	19561	1724
919	19583	1702
920	19607	1681
921	19629	1660
922	19648	1639
923	19669	1617
924	19687	1596
925	19709	1575
926	19730	1553
927	19752	1532
928	19771	1511
929	19790	1489
930	19815	1468
931	19834	1447
932	19858	1426
933	19881	1404
934	19901	1383
935	19919	1362
936	19938	1340
937	19955	1319
938	19974	1297
939	19994	1276
940	20014	1254
941	20038	1233
942	20058	1212
943	20076	1190
944	20095	1169
945	20116	1148
946	20138	1127
947	20161	1105
948	20180	1084
949	20200	1063
950	20231	1042
951	20252	1021
952	20273	999
953	20295	978
954	20315	957
955	20338	936
956	20360	914
957	20383	893
958	20408	872
959	20425	851
960	20456	830
961	20480	808
962	20504	787
963	20531	766
964	20560	745
965	20583	724
966	20602	703
967	20623	681
968	20645	660
969	20670	639
970	20692	618
971	20715	596
972	20738	575
973	20761	554
974	20783	532
975	20808	511
976	20829	490
977	20854	469
978	20878	447
979	20902	426
980	20925	405
981	20944	383
982	20961	362
983	20982	341
984	21000	319
985	21021	298
986	21045	277
987	21070	255
988	21097	234
989	21115	213
990	21138	191
991	21158	170
992	21177	149
993	21196	127
994	21220	106
995	21239	85
996	21261	63
997	21281	42
998	21301	21
999	21324	0
